payment_id,customer_id,staff_id,rental_id,amount,payment_date,first_name,last_name,email
17503,341,2,1520,7.99,2007-02-15 22:25:46,PETER,MENARD,peter.menard@sakilacustomer.org
17504,341,1,1778,1.99,2007-02-16 17:23:14,PETER,MENARD,peter.menard@sakilacustomer.org
17505,341,1,1849,7.99,2007-02-16 22:41:45,PETER,MENARD,peter.menard@sakilacustomer.org
17506,341,2,2829,2.99,2007-02-19 19:39:56,PETER,MENARD,peter.menard@sakilacustomer.org
17507,341,2,3130,7.99,2007-02-20 17:31:48,PETER,MENARD,peter.menard@sakilacustomer.org
17508,341,1,3382,5.99,2007-02-21 12:33:49,PETER,MENARD,peter.menard@sakilacustomer.org
17509,342,2,2190,5.99,2007-02-17 23:58:17,HAROLD,MARTINO,harold.martino@sakilacustomer.org
17510,342,1,2914,5.99,2007-02-20 02:11:44,HAROLD,MARTINO,harold.martino@sakilacustomer.org
17511,342,1,3081,2.99,2007-02-20 13:57:39,HAROLD,MARTINO,harold.martino@sakilacustomer.org
17512,343,2,1547,4.99,2007-02-16 00:10:50,DOUGLAS,GRAF,douglas.graf@sakilacustomer.org
17513,343,1,1564,6.99,2007-02-16 01:15:33,DOUGLAS,GRAF,douglas.graf@sakilacustomer.org
17514,343,2,1879,0.99,2007-02-17 01:26:00,DOUGLAS,GRAF,douglas.graf@sakilacustomer.org
17515,343,2,1922,0.99,2007-02-17 04:32:51,DOUGLAS,GRAF,douglas.graf@sakilacustomer.org
17516,343,2,2461,6.99,2007-02-18 18:26:38,DOUGLAS,GRAF,douglas.graf@sakilacustomer.org
17518,343,1,3407,0.99,2007-02-21 14:42:28,DOUGLAS,GRAF,douglas.graf@sakilacustomer.org
17519,344,1,1341,3.99,2007-02-15 10:54:44,HENRY,BILLINGSLEY,henry.billingsley@sakilacustomer.org
17520,344,2,1475,4.99,2007-02-15 19:36:27,HENRY,BILLINGSLEY,henry.billingsley@sakilacustomer.org
17521,344,1,1731,0.99,2007-02-16 14:00:38,HENRY,BILLINGSLEY,henry.billingsley@sakilacustomer.org
17522,345,2,1210,0.99,2007-02-15 01:26:17,CARL,ARTIS,carl.artis@sakilacustomer.org
17523,345,1,1457,4.99,2007-02-15 18:34:15,CARL,ARTIS,carl.artis@sakilacustomer.org
17524,345,2,1550,0.99,2007-02-16 00:27:01,CARL,ARTIS,carl.artis@sakilacustomer.org
